"Timestamp","State","Confidence","Boundary","AOI","Posture","FixationSeconds","DwellRatio","SaccadeRate","BodyActivity","HandCount","Pinch","DistanceMeters","Notes"
"05-14 16:16:46.104","Distracted","90%","Custom","table_surface","sitting","0.16","0.00","1.03","0.00","0","False/False","0.00",""
"05-14 16:16:47.117","Distracted","90%","Custom","table_surface","sitting","1.16","0.00","0.51","0.00","0","False/False","0.00",""
"05-14 16:16:48.122","Distracted","90%","Custom","table_surface","sitting","2.26","0.00","0.00","0.00","0","False/False","0.00",""
"05-14 16:16:49.126","Idle","50%","Custom","receptacle_c","sitting","3.25","0.00","0.00","0.00","0","False/False","0.00",""
"05-14 16:16:50.132","Distracted","90%","Custom","table_surface","sitting","4.25","0.25","0.00","0.00","0","False/False","0.00",""
"05-14 16:19:18.956","Engaged","0%","Stationary","none","Sitting","0.00","0.00","0.00","0.00","0","False/False","0.00",""
"05-14 16:19:20.024","Idle","90%","RoomScale","none","room_scale","1.00","0.00","0.00","0.00","0","False/False","1.79",""
"05-14 16:19:21.025","Idle","90%","RoomScale","none","room_scale","2.00","0.00","0.00","0.00","0","False/False","1.79",""
"05-14 16:19:22.028","Idle","90%","RoomScale","none","room_scale","3.00","0.00","0.00","0.00","0","False/False","1.79",""
"05-14 16:19:23.031","Idle","90%","RoomScale","none","room_scale","4.00","0.00","0.00","0.00","0","False/False","1.79",""
"05-14 16:19:24.033","Idle","90%","RoomScale","none","room_scale","5.01","0.00","0.00","0.00","0","False/False","1.79",""
"05-14 16:19:25.036","Idle","90%","RoomScale","none","room_scale","6.01","0.00","0.00","0.00","0","False/False","1.79",""
"05-14 16:19:26.039","Distracted","90%","RoomScale","none","room_scale","7.00","0.00","1000.00","0.00","0","False/False","1.79",""
"05-14 16:19:27.042","Distracted","90%","RoomScale","none","room_scale","8.00","0.00","1.00","0.00","0","False/False","1.79",""
"05-14 16:19:28.044","Transitioning","55%","RoomScale","none","room_scale","9.00","0.00","0.00","0.00","1","False/True","1.79",""
"05-14 16:19:29.046","Transitioning","55%","RoomScale","none","room_scale","10.01","0.00","0.00","0.00","1","False/False","1.79",""
"05-14 16:19:30.048","Transitioning","55%","RoomScale","none","room_scale","11.01","0.00","0.00","0.00","1","False/False","1.79",""
"05-14 16:19:31.052","Transitioning","55%","RoomScale","none","room_scale","12.00","0.00","0.00","0.00","1","False/False","1.79",""
"05-14 16:19:32.053","Transitioning","55%","RoomScale","none","room_scale","13.00","0.00","0.00","0.00","2","False/False","1.79",""
"05-14 16:19:33.056","Transitioning","55%","RoomScale","none","room_scale","14.00","0.00","0.00","0.00","3","False/False","1.79",""
"05-14 16:19:34.059","Transitioning","55%","RoomScale","none","room_scale","15.00","0.00","0.00","0.00","4","False/False","1.79",""
"05-14 16:19:35.060","Transitioning","55%","RoomScale","none","room_scale","16.01","0.00","0.00","0.00","4","False/False","1.79",""
"05-14 16:19:36.063","Transitioning","55%","RoomScale","none","room_scale","17.01","0.00","0.00","0.00","4","False/False","1.79",""
"05-14 16:19:37.065","Transitioning","55%","RoomScale","none","room_scale","18.00","0.00","0.00","0.00","5","False/True","1.79",""
"05-14 16:19:38.067","Transitioning","55%","RoomScale","none","room_scale","19.00","0.00","0.00","0.00","4","False/False","1.79",""
"05-14 16:19:39.070","Transitioning","55%","RoomScale","none","room_scale","20.00","0.00","0.00","0.00","4","False/False","1.79",""
"05-14 16:19:40.072","Transitioning","55%","RoomScale","none","room_scale","21.00","0.00","0.00","0.00","4","False/False","1.79",""
"05-14 16:19:41.075","Transitioning","55%","RoomScale","none","room_scale","22.01","0.00","0.00","0.00","5","False/True","1.79",""
"05-14 16:19:42.077","Transitioning","55%","RoomScale","none","room_scale","23.01","0.00","0.00","0.00","4","False/False","1.79",""
"05-14 16:19:43.080","Transitioning","55%","RoomScale","none","room_scale","24.00","0.00","0.00","0.00","3","False/False","1.79",""
"05-14 16:19:44.082","Transitioning","55%","RoomScale","none","room_scale","25.00","0.00","0.00","0.00","2","False/False","1.79",""
"05-14 16:19:45.084","Transitioning","55%","RoomScale","none","room_scale","26.00","0.00","0.00","0.00","3","False/False","1.79",""
"05-14 16:19:46.086","Transitioning","55%","RoomScale","none","room_scale","27.00","0.00","0.00","0.00","4","False/True","1.79",""
"05-14 16:19:47.089","Transitioning","55%","RoomScale","none","room_scale","28.01","0.00","0.00","0.00","4","True/False","1.79",""
"05-14 16:19:48.092","Transitioning","55%","RoomScale","none","room_scale","29.01","0.00","0.00","0.00","4","False/False","1.79",""
"05-14 16:19:49.094","Transitioning","50%","RoomScale","none","room_scale","30.00","0.00","0.00","0.00","5","True/False","1.79",""
"05-14 16:19:50.097","Transitioning","55%","RoomScale","none","room_scale","31.00","0.00","0.00","0.00","5","False/False","0.00",""
"05-14 16:19:51.100","Transitioning","55%","RoomScale","table_surface","room_scale","32.00","0.00","0.00","0.00","4","False/False","0.00",""
"05-14 16:19:52.101","Transitioning","55%","RoomScale","table_surface","room_scale","33.01","0.00","0.00","0.00","4","False/False","0.00",""
"05-14 16:19:53.104","Transitioning","76%","RoomScale","task_cube_1","room_scale","34.01","0.00","0.00","0.00","4","False/False","0.00",""
"05-14 16:19:54.106","Transitioning","58%","RoomScale","table_surface","room_scale","35.01","0.25","0.00","0.00","4","False/False","1.79",""
"05-14 16:19:55.109","Engaged","94%","RoomScale","task_cube_1","room_scale","36.00","0.20","0.00","0.00","3","False/False","1.79",""
"05-14 16:19:56.110","Transitioning","55%","RoomScale","table_surface","room_scale","37.10","0.51","0.00","0.00","3","False/False","1.79",""
"05-14 16:19:57.113","Transitioning","55%","RoomScale","table_surface","room_scale","38.10","0.51","0.00","0.00","2","False/False","1.79",""
"05-14 16:19:58.120","Transitioning","55%","RoomScale","table_surface","room_scale","39.10","0.27","0.00","0.00","2","False/False","1.79",""
"05-14 16:19:59.132","Transitioning","55%","RoomScale","none","room_scale","40.11","0.27","0.00","0.00","1","False/False","1.79",""
"05-14 16:20:00.137","Transitioning","55%","RoomScale","none","room_scale","0.03","0.00","0.00","0.00","1","False/False","1.79",""
"05-14 16:20:01.151","Transitioning","58%","RoomScale","none","room_scale","1.02","0.00","0.00","0.00","1","False/False","1.79",""
"05-14 16:20:02.153","Transitioning","58%","RoomScale","none","room_scale","2.02","0.00","0.00","0.00","1","False/False","1.79",""
"05-14 16:20:03.156","Transitioning","55%","RoomScale","none","room_scale","3.02","0.00","0.00","0.00","2","False/False","1.79",""
"05-14 16:20:04.158","Transitioning","55%","RoomScale","none","room_scale","4.02","0.00","0.00","0.00","2","False/False","1.79",""
"05-14 16:20:05.160","Transitioning","55%","RoomScale","none","room_scale","5.03","0.00","0.00","0.00","2","False/False","1.79",""
